Angle,SinAngle,Acceleration,Time
10,0.17,1.70175214113592,1.0840937608317
20,0.34,3.35179740459155,0.772460209682989
30,0.50,4.9,0.63887656499994
40,0.64,6.29931857492809,0.563466643682606
50,0.77,7.50723554256598,0.516148865041994
60,0.87,8.4870489570875,0.485441212813464
70,0.94,9.2089876837019,0.466024824703558
80,0.98,9.65111597951964,0.45522513198747
90,1.00,9.8,0.451753951452626
