$\theta$ (\textdegree),10,20,30,40,50,60,70,80,90
Acceleration ($m/s^2$),1.70,3.35,4.90,6.30,7.51,8.49,9.21,9.65,9.80
$k$,9.80,9.80,9.80,9.80,9.80,9.80,9.80,9.80,9.80
