$\theta$ (\textdegree),10,20,30,40,50,60,70,80,90
Time ($s$),1.33,0.90,0.72,0.63,0.50,0.43,0.41,0.40,0.38
Acceleration ($m/s^2$),1.13,2.47,3.86,5.04,8.00,10.82,11.90,12.50,13.85
