$\theta$ (\textdegree),10,20,30,40,50,60,70,80,90
Acceleration ($m/s^2$),1.13,2.47,3.86,5.04,8.00,10.82,11.90,12.50,13.85
$k$,6.51,7.22,7.72,7.84,10.44,12.49,12.66,12.69,13.85
